Id;Dato;Start;Slutt dato;Slutt;Plasser;Undform;Partinr;Aktivitet;Emne;Fagperson;Email;Tittel;Stedkode;Sted;Rom;Fag;Studentgr;Terminnr;
24V-SOS4100-1-1-1-1;08.01.2024;08:15;08.01.2024;10:00;30;SEMFOR;;Forelesning og studentaktiviteter;SOS4100;Gugushvili, Alexi;;Professor;185170700;SV-ISS;BL11301 Seminarrom 301;;4624, 5493;1;
24V-SOS4100-1-1-1-1;08.01.2024;08:15;08.01.2024;10:00;30;SEMFOR;;Forelesning og studentaktiviteter;SOS4100;Borgen, Solveig Topstad;;Postdoktor;185170700;SV-ISS;BL11301 Seminarrom 301;;4624, 5493;1;
24V-SOSGEO1120-1-1-1-1;09.01.2024;08:15;09.01.2024;10:00;200;FOR;;Forelesning;SOSGEO1120;Nosrati, Elias;;;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;971, 1642, 1920, 2040, 2116, 2229, 4622, 5034, 5799, 5800, 5802, 5806, 5851, 6130, 6392, 6420, 6421;1;
24V-SOS2100-1-1-1-1;09.01.2024;10:15;09.01.2024;12:00;170;FOR;;Forelesning;SOS2100;Flemmen, Magne Paalgard;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2116, 2229, 4622, 5800, 5869;1;
24V-UTV3091-1-1-2-1;10.01.2024;10:15;10.01.2024;16:00;30;FOR;;Forelesning;UTV3091;Kjellman, Kjell Erling;;Førstelektor;185170700;SV-ISS;BL09130 Auditorium 6;;6386;1;
24V-SOSGEO4801-1-1-1-1;10.01.2024;12:15;10.01.2024;14:00;40;SEMFOR;;Forelesning og studentaktiviteter;SOSGEO4801;Andersson, Mette;;Professor;185170700;SV-ISS;BL11201 Seminarrom 201;;4624, 5407;1;
24V-SOSGEO4801-1-1-1-1;10.01.2024;12:15;10.01.2024;14:00;40;SEMFOR;;Forelesning og studentaktiviteter;SOSGEO4801;Stokke, Kristian;;Professor;185170700;SV-ISS;BL11201 Seminarrom 201;;4624, 5407;1;
24V-UTV3091-1-1-2-2;11.01.2024;10:15;11.01.2024;16:00;38;FOR;;Forelesning;UTV3091;Lind, Jo Thori;;Professor;185170600;SV-ØI;BL09130 Auditorium 6;;6386;1;
24V-UTV3091-1-1-2-2;11.01.2024;10:15;11.01.2024;16:00;38;FOR;;Forelesning;UTV3091;Kjellman, Kjell Erling;;Førstelektor;185170700;SV-ISS;BL09130 Auditorium 6;;6386;1;
24V-KULKOM3090-1-1-3-3-1;15.01.2024;08:15;15.01.2024;10:00;12;SEM;3;Seminargruppe 3;KULKOM3090;Storm-Mathisen, Frøja Isabella;;Stipendiat;185170700;SV-ISS;BL273528 Grupperom 8;;622, 1573, 2133, 2135, 5869, 6412;1;
24V-SOS4100-1-1-1-1;15.01.2024;08:15;15.01.2024;10:00;30;SEMFOR;;Forelesning og studentaktiviteter;SOS4100;Gugushvili, Alexi;;Professor;185170700;SV-ISS;BL11301 Seminarrom 301;;4624, 5493;1;
24V-HGO4090-1-1-2-1;15.01.2024;10:15;15.01.2024;12:00;25;FOR;;Seminar for students submitting in May;HGO4090;Nightingale, Andrea Joslyn;;Professor;185170700;SV-ISS;BL11301 Seminarrom 301;;4594;1;
24V-SOSGEO2800-1-1-1-501;15.01.2024;10:15;15.01.2024;12:00;130;FOR;;Forelesninger;SOSGEO2800;Midtbøen, Arnfinn Haagensen;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2229, 4622, 5211, 5869, 5898;1;
24V-SOS2901-1-1-1-501;15.01.2024;12:15;15.01.2024;14:00;55;FOR;;Forelesninger;SOS2901;Skardhamar, Torbjørn;;Professor;185170700;SV-ISS;BL271511 Auditorium 2;;622, 971, 2229, 4622, 5869;1;
24V-HGO4941-1-1-1-2;15.01.2024;12:15;15.01.2024;15:00;25;FOR;;Forelesninger: Preparatory lecture;HGO4941;Tollefsen, Andreas Forø;;Førsteamanuensis;185170700;SV-ISS;BL10351 PC-stue 351;;4594;1;
24V-SGO3500-1-1-1-502;15.01.2024;14:15;15.01.2024;16:00;40;SEM-F;;Forelesning;SGO3500;Gentile, Michael;;Professor;185170700;SV-ISS;BL11201 Seminarrom 201;;5032, 5034, 5833;1;
24V-SOS1100-1-1-1-1;15.01.2024;14:15;15.01.2024;16:00;141;FOR;;Forelesning;SOS1100;Flemmen, Magne Paalgard;;Professor;185170700;SV-ISS;BL09104 Ragnar Frischs auditorium 1;;622, 971, 2116, 2229, 4622, 5800, 5869, 6130;1;
